ProductId,ProductType,URL
B00L,Lipstick,https://www.amazon.in/Eyeshadow-Prime-Eligible-Eyes/s?i=beauty&bbn=1374379031&rh=n%3A1355016031%2Cn%3A1374357031%2Cn%3A1374379031%2Cn%3A1374384031%2Cp_85%3A10440599031%2Cp_28%3A-spons&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=HAW9B7AZ6E1XMSTNXY9X&pf_rd_s=merchandised-search-13&ref=SBC_Girls_1
 B00K,Kits & Accessories,https://www.amazon.in/s?bbn=9530409031&rh=n%3A9530409031%2Cp_85%3A10440599031%2Cp_28%3A-spons&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=HAW9B7AZ6E1XMSTNXY9X&pf_rd_s=merchandised-search-13&ref=SBC_Girls_9
 B00J,Shampoo,https://www.amazon.in/s?i=beauty&bbn=27076118031&rh=n%3A1355016031%2Cn%3A9851597031%2Cn%3A27076118031%2Cn%3A1374334031%2Cp_72%3A1318477031&dc&fs=true&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=2e794e71-efe9-4d32-b22b-7f41306c4eea&pf_rd_r=1VX6276QKTXNWTBWDSY6&pf_rd_s=merchandised-search-12&qid=1633152987&rnid=27076118031&ref=sr_nr_n_2
 B00I,Cream & Moisturizer,https://www.amazon.in/s?bbn=9530421031&rh=n%3A1355016031%2Cn%3A%211355017031%2Cn%3A1374407031%2Cn%3A1374414031%2Cn%3A9530421031%2Cp_85%3A10440599031&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=J3D55DSHBXE7WA6366Z9&pf_rd_s=merchandised-search-11&ref=QAHzEditorial_en_IN_6
 B00H,Hair Color & Heena,https://www.amazon.in/s?i=beauty&bbn=9851597031&rh=n%3A1355016031%2Cn%3A9851597031%2Cn%3A1374309031%2Cp_72%3A1318477031&dc&fs=true&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=2e794e71-efe9-4d32-b22b-7f41306c4eea&pf_rd_r=1VX6276QKTXNWTBWDSY6&pf_rd_s=merchandised-search-12&qid=1633152875&rnid=9851597031&ref=sr_nr_n_1
 B00G,Shower Gel,https://www.amazon.in/s?k=body+wash&i=beauty&crid=3NKGP4OZB9248&pf_rd_i=1374276031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=218f8944-f0f6-41af-ad51-958d2a04fb2f&pf_rd_r=Q92BV6MWDP2BAZXH1E9P&pf_rd_s=merchandised-search-4&sprefix=body+%2Cbeauty%2C193&ref=nb_sb_ss_ts-doa-p_2_5
 B00F,Face Wash & Cleansers,https://www.amazon.in/s?bbn=26984090031&rh=n%3A26984090031%2Cp_72%3A1318477031&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=76BM2ADV9TQD1B275FZF&pf_rd_s=merchandised-search-11&ref=QAHzEditorial_en_IN_3
 B00E,Eyeliner & Kajal,https://www.amazon.in/b/ref=SBC_Girls_2?pf_rd_r=76BM2ADV9TQD1B275FZF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-13&pf_rd_t=&pf_rd_i=1355016031&ie=UTF8&node=27061952031
 B00D,Deo & Perfume,https://www.amazon.in/s?bbn=1374298031&rh=n%3A1374298031%2Cp_85%3A10440599031&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=76BM2ADV9TQD1B275FZF&pf_rd_s=merchandised-search-11&ref=QAHzEditorial_en_IN_9
 B00C,Conditioner,https://www.amazon.in/s?i=beauty&bbn=27076118031&rh=n%3A1355016031%2Cn%3A9851597031%2Cn%3A27076118031%2Cn%3A1374306031%2Cp_72%3A1318477031&dc&fs=true&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=2e794e71-efe9-4d32-b22b-7f41306c4eea&pf_rd_r=1VX6276QKTXNWTBWDSY6&pf_rd_s=merchandised-search-12&qid=1633152987&rnid=27076118031&ref=sr_nr_n_3
 B00B,Body Lotion,https://www.amazon.in/s?bbn=1374411031&rh=n%3A1355016031%2Cn%3A%211355017031%2Cn%3A1374407031%2Cn%3A1374408031%2Cn%3A1374411031%2Cp_85%3A10440599031&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&ref=QAHzEditorial_en_IN_7
 B00A,Body Scrubs,https://www.amazon.in/Body-Washes-Prime-Eligible-Bath/s?i=beauty&bbn=1374276031&rh=n%3A1355016031%2Cn%3A1374276031%2Cn%3A1374296031%2Cp_85%3A10440599031%2Cp_28%3A-spons&pf_rd_i=1374276031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=218f8944-f0f6-41af-ad51-958d2a04fb2f&pf_rd_r=2GP53SFGZ35HBP44Y0WQ&pf_rd_s=merchandised-search-4&ref=Shop+by+category_3
 B009,Shaving Foam & Gels,https://www.amazon.in/s?i=hpc&rh=n%3A26953401031&ref=QANav11CTA_en_IN_4
 B008,Talcum Powder,https://www.amazon.in/s/ref=QANav11CTA_en_IN_4?pf_rd_r=8B12C7V5MBJN0S2CW9BN&pf_rd_p=f6652724-bc9e-46bb-89da-0baaa6148c7e&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-10&pf_rd_t=&pf_rd_i=1374407031&i=beauty&bbn=1374408031&rh=n%3A1355016031%2Cn%3A1374407031%2Cn%3A1374408031%2Cn%3A9530413031
 B007,Nail Polish,https://www.amazon.in/s?k=nail+paint&i=beauty&crid=STMTCEXUXU5N&pf_rd_i=1355016031&pf_rd_i=1374357031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_p=97955c62-4925-470d-a67e-bef2685b77d8&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_r=N9NW37PMM25A73RXDFY6&pf_rd_s=merchandised-search-11&pf_rd_s=merchandised-search-13&sprefix=nail+paint%2Cbeauty%2C200&ref=nb_sb_noss_1
 B006,Sheet Mask,https://www.amazon.in/Face-Masks-Prime-Eligible/s?bbn=1374430031&rh=n%3A1355016031%2Cn%3A%211355017031%2Cn%3A1374407031%2Cn%3A1374414031%2Cn%3A1374430031%2Cp_85%3A10440599031%2Cp_28%3Asheet&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=YPJA5KBNPTYX5JHWP33H&pf_rd_s=merchandised-search-11&ref=QAHzEditorial_en_IN_5
 B005,Trimmers & Clippers,https://www.amazon.in/s?i=hpc&bbn=3263015031&rh=n%3A3263015031%2Cp_n_target_audience_browse-bin%3A1463516031%2Cp_72%3A1318476031&pf_rd_i=5122801031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=11756a4d-5873-45b4-af72-a0b348ff9425&pf_rd_r=J9KC0GFN1BCN0C2VM5GE&pf_rd_s=merchandised-search-3&ref=QANav11CTA_en_IN_1
 B004,Sunscreen,https://www.amazon.in/s?i=beauty&bbn=1374414031&rh=n%3A1355016031%2Cn%3A1374407031%2Cn%3A1374414031%2Cn%3A9530425031%2Cp_85%3A10440599031&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=YPJA5KBNPTYX5JHWP33H&pf_rd_s=merchandised-search-11&ref=QAHzEditorial_en_IN_2
 B003,Bath Salts,https://www.amazon.in/b/?node=1374281031&ref_=Oct_d_odnav_d_1374277031_1&pd_rd_w=toK2f&content-id=amzn1.sym.1956f629-6b8b-4f13-b0bc-f83663ada6fa&pf_rd_p=1956f629-6b8b-4f13-b0bc-f83663ada6fa&pf_rd_r=K827AYVZGZPD4DRHJH31&pd_rd_wg=Fq7Zp&pd_rd_r=49958c5b-62fa-4e7b-8bc0-c1855676a9da
 B002,Eye Shadow & Mascara,https://www.amazon.in/s?i=beauty&bbn=1374357031&rh=n%3A1355016031%2Cn%3A1374357031%2Cn%3A1374364031%2Cp_85%3A10440599031%2Cp_28%3AEyeshadow+palette%7CMascara&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=4KH8C94H8FMF7DBNJ3MV&pf_rd_s=merchandised-search-13&ref=SBC_Girls_3
 B001,Face Serum,https://www.amazon.in/s?bbn=9530424031&rh=n%3A1355016031%2Cn%3A%211355017031%2Cn%3A1374407031%2Cn%3A1374414031%2Cn%3A9530421031%2Cn%3A9530424031%2Cp_85%3A10440599031&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=4KH8C94H8FMF7DBNJ3MV&pf_rd_s=merchandised-search-11&ref=QAHzEditorial_en_IN_4
 B000,Hair Oil,https://www.amazon.in/s/ref=QANav11CTA_en_IN_3?pf_rd_r=D1K30RWYE7PKFZ8CYMZG&pf_rd_p=a4bc4dff-b30e-4874-874d-1883c08b3a19&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-8&pf_rd_t=&pf_rd_i=9851597031&i=beauty&bbn=9851597031&rh=n%3A1355016031%2Cn%3A9851597031%2Cn%3A3507139031
